Unnamed: 0,id,name,language,pull_requests,size,contributors,age,contributor_xp,pr_points
0,47422110,bartonhammond/snowflake,JavaScript,39.0,30278.0,24.0,569,1.607,7.977
0,124765446,s0md3v/AwesomeXSS,JavaScript,6.0,3642.0,5.0,1786,1.133,2.825
0,42832234,mamaral/Neon,Swift,16.0,14088.0,11.0,777,1.907,5.818
0,79775156,jcjohnson/pytorch-examples,Python,5.0,63.0,5.0,889,1.271,1.605
0,119014048,Lyken17/pytorch-OpCounter,Python,19.0,177.0,17.0,1685,2.262,4.237
0,77689140,thoas/go-funk,Go,82.0,326.0,47.0,2187,3.367,11.808
0,136181543,qubvel/segmentation_models,Python,43.0,1863.0,13.0,681,1.545,3.588
0,112751115,naganandy/graph-based-deep-learning-literature,Jupyter Notebook,13.0,13616.0,11.0,2125,1.648,2.173
0,164380611,instillai/deep-learning-roadmap,Python,2.0,12843.0,3.0,15,1.103,1.6
0,34196200,keithwhor/nodal,JavaScript,87.0,1479.0,22.0,2374,2.456,5.333
0,242956320,notion-enhancer/notion-enhancer,JavaScript,12.0,14873.0,32.0,229,2.042,4.354
0,46131737,kdzwinel/betwixt,JavaScript,12.0,4876.0,5.0,1133,1.346,4.877
0,215404927,kellyjonbrazil/jc,Python,101.0,14494.0,38.0,1574,2.018,16.166
0,101684931,ApoorvSaxena/lozad.js,JavaScript,91.0,6058.0,32.0,1962,2.757,11.004
0,9779017,fideloper/TrustedProxy,PHP,57.0,161.0,25.0,3047,1.972,7.046
0,76567547,surmon-china/vue-quill-editor,JavaScript,15.0,643.0,13.0,1183,1.366,3.376
0,94593596,etcd-io/bbolt,Go,290.0,2084.0,186.0,2368,9.119934622064772,17.844
0,119822304,sindresorhus/Gifski,Swift,101.0,21743.0,14.0,1086,1.199,16.22
0,111738332,final-form/react-final-form,JavaScript,234.0,7574.0,116.0,1213,4.102,6.139
0,40806530,sindresorhus/np,JavaScript,160.0,1001.0,83.0,1960,2.689,17.286
0,167459852,github/personal-website,HTML,46.0,911.0,34.0,115,1.992,6.682
0,544208,ajenti/ajenti,Python,175.0,38552.0,21.0,5020,1.483,8.864
0,1602811,fluent-ffmpeg/node-fluent-ffmpeg,JavaScript,131.0,8961.0,83.0,4597,2.77,12.512
0,15921313,release-it/release-it,JavaScript,131.0,6495.0,94.0,3332,3.514,20.03
0,708775091,louislam/dockge,TypeScript,86.0,715.0,60.0,90,2.175,6.696
0,20556335,bayesian-optimization/BayesianOptimization,Python,80.0,32493.0,32.0,3517,2.023,9.765
0,15046172,stefanpenner/es6-promise,JavaScript,124.0,900.0,75.0,2018,5.303,5.853
0,255231293,karpathy/micrograd,Jupyter Notebook,1.0,248.0,2.0,2,1.0,0.8
0,16549503,github/scientist,Ruby,70.0,202.0,52.0,2770,2.585,7.365
0,555374,dahlbyk/posh-git,PowerShell,298.0,2958.0,97.0,4727,4.471,8.844
0,7039626,olivere/elastic,Go,19.0,8572.0,102.0,2396,2.669,4.777
0,136463760,electron/fiddle,TypeScript,582.0,16934.0,69.0,1314,3.917,24.155
