Unnamed: 0,name,language,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,pr_points1,pr_points2,pr_points3
0,tweepy/tweepy,Python,288,13857,198,5328,3.182,3.031,3.247,4.663,3.526,5.268
0,ReFirmLabs/binwalk,Python,132,45162,71,3364,2.234,2.125,1.973,6.118,6.657,6.153
0,TomSchimansky/CustomTkinter,Python,14,151234,10,1041,1.368,1.337,1.199,1.08,1.063,1.084
0,Mintplex-Labs/anything-llm,JavaScript,319,35598,32,302,1.439,1.428,1.435,13.743,11.247,14.654
0,tariqbuilds/linux-dash,JavaScript,168,4694,81,2348,4.051,3.776,2.746,4.155,4.675,4.729
0,esimov/caire,Go,13,92353,9,2080,2.059,1.957,1.751,2.277,2.329,1.826
0,alexfoxy/lax.js,JavaScript,13,5080,14,657,2.082,1.983,2.108,1.353,1.284,1.315
0,dvdzkwsk/react-redux-starter-kit,JavaScript,292,1190,93,714,1.523,1.591,1.694,8.608,5.898,9.834
0,rushter/MLAlgorithms,Python,39,11924,25,1943,4.438,4.117,2.961,4.491,4.552,4.246
0,you-dont-need/You-Dont-Need-Momentjs,JavaScript,87,961,38,1909,3.771,3.669,2.924,4.901,4.031,4.721
0,facebook/flipper,TypeScript,7,426999,284,112,6.735,6.63,7.201,1.338,1.328,1.288
0,ShangtongZhang/reinforcement-learning-an-introduction,Python,49,6162,28,1871,1.463,1.428,1.351,4.378,4.188,3.87
0,krasimir/react-in-patterns,JavaScript,43,132894,30,2614,3.638,3.663,3.632,1.261,1.25,1.226
0,bchiang7/v4,JavaScript,32,52931,8,741,1.392,1.364,1.247,3.139,2.541,3.667
0,ritz078/transform,TypeScript,150,13076,36,2437,2.647,2.506,2.086,4.588,3.863,4.366
0,Plachtaa/VALL-E-X,Python,13,59267,9,67,1.237,1.225,1.252,1.62,1.542,1.431
0,guess-js/guess,TypeScript,347,13935,25,1449,1.685,1.738,1.823,5.579,5.163,6.668
0,x-extends/vxe-table,TypeScript,30,243839,24,1742,3.112,2.905,2.332,2.974,2.93,2.84
0,olton/Metro-UI-CSS,JavaScript,18,201669,52,2582,2.303,2.179,2.366,1.341,1.308,1.389
0,detailyang/awesome-cheatsheet,Python,101,9510,70,3480,4.091,3.814,2.676,2.236,2.21,2.13
0,matthew-andrews/isomorphic-fetch,JavaScript,19,59,11,2137,2.03,1.93,1.647,3.151,2.578,3.077
0,reach/router,JavaScript,86,2181,59,889,3.778,3.529,2.59,3.614,2.915,3.654
0,tsparticles/tsparticles,TypeScript,171,374715,79,381,1.975,1.927,1.999,4.546,4.066,5.031
0,AlaSQL/alasql,JavaScript,5,95355,89,1751,2.303,2.302,2.473,1.072,1.057,1.029
0,expressjs/multer,JavaScript,71,5208,50,3528,2.855,2.808,2.638,3.362,3.09,3.361
0,opencv/cvat,TypeScript,59,251397,222,2082,5.671,5.638,6.101,5.652,4.783,6.405
0,spencermountain/compromise,JavaScript,251,57425,99,4654,2.078,1.975,1.826,4.083,3.262,4.165
0,javve/list.js,JavaScript,52,3468,44,3640,3.461,3.223,2.262,4.074,4.291,3.906
0,pointfreeco/swift-composable-architecture,Swift,120,122454,178,49,9.925,9.137,5.635,5.096,4.474,5.39
0,ionic-team/capacitor,TypeScript,1192,74128,259,969,10.057,9.313,7.14,10.878,9.778,7.546
